Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Jacy Sheldon,DAL,G,33.0,743.0,33.0,19.0,22.5,2.0,4.9,0.41,0.8,2.3,0.342,1.2,2.6,0.471,0.4,0.5,0.875,0.6,2.0,2.2,0.5,0.4,1.4,2.5,5.2
Jaylyn Sherrod,NYL,G,5.0,19.0,5.0,0.0,3.8,0.4,1.2,0.333,0.0,0.4,0.0,0.4,0.8,0.5,0.4,0.4,1.0,0.2,0.2,0.8,0.4,0.2,0.2,0.2,1.2
Maddy Siegrist,DAL,F,20.0,513.0,20.0,11.0,25.7,4.5,8.6,0.517,0.5,1.6,0.29,4.0,7.1,0.567,1.2,1.5,0.767,1.6,3.3,1.0,0.4,0.5,0.7,1.3,10.5
Alanna Smith,MIN,F,32.0,869.0,32.0,32.0,27.2,3.8,8.1,0.477,1.3,3.0,0.427,2.6,5.1,0.506,1.5,2.0,0.766,1.5,5.3,3.2,1.4,1.7,1.8,3.3,10.5
NaLyssa Smith,IND,F,34.0,868.0,34.0,31.0,25.5,4.4,9.1,0.482,0.4,1.3,0.318,4.0,7.9,0.509,1.9,3.1,0.604,1.8,7.4,1.1,0.7,1.0,1.5,2.8,11.1
Stephanie Soares,DAL,C,22.0,175.0,22.0,3.0,8.0,0.5,1.5,0.294,0.1,0.5,0.167,0.4,1.0,0.364,0.1,0.1,1.0,0.8,2.1,0.5,0.1,0.4,0.5,0.8,1.1
Taylor Soule,MIN,F,2.0,3.0,2.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
Azura Stevens,LAS,F-C,13.0,328.0,13.0,12.0,25.2,4.0,9.1,0.441,1.5,4.0,0.365,2.5,5.1,0.5,1.2,1.5,0.8,1.2,6.3,2.0,0.9,1.2,1.8,2.2,10.7
Breanna Stewart,NYL,F,32.0,1080.0,32.0,32.0,33.8,6.9,15.3,0.454,1.2,4.1,0.288,5.8,11.2,0.515,5.2,6.2,0.848,1.5,8.6,3.9,1.8,1.4,1.8,2.2,20.3
Kiah Stokes,LVA,C,32.0,582.0,32.0,26.0,18.2,0.5,1.6,0.327,0.2,1.0,0.194,0.3,0.7,0.524,0.2,0.3,0.667,0.7,4.7,0.7,0.5,0.9,0.4,1.7,1.4
