Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Bridget Carleton,MIN,F,32.0,944.0,32.0,29.0,29.5,3.1,7.0,0.439,2.2,5.1,0.429,0.9,1.9,0.467,0.8,1.0,0.813,1.0,3.9,2.4,1.0,0.3,1.0,2.2,9.1
DiJonai Carrington,CON,G-F,32.0,948.0,32.0,32.0,29.6,4.4,10.9,0.404,0.8,2.7,0.294,3.6,8.3,0.439,3.3,4.2,0.784,1.3,4.8,1.5,1.5,0.4,1.9,2.4,12.9
Chennedy Carter,CHI,G,28.0,704.0,28.0,15.0,25.1,7.2,14.4,0.5,0.2,0.8,0.273,7.0,13.6,0.513,2.6,3.5,0.745,0.6,3.3,2.8,1.1,0.2,1.7,3.3,17.2
Jessika Carter,LVA,C,2.0,4.0,2.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tina Charles,ATL,C,32.0,930.0,32.0,32.0,29.1,6.2,13.2,0.473,0.3,1.2,0.297,5.9,12.0,0.49,2.0,2.6,0.759,2.3,9.3,2.3,0.9,0.5,1.6,2.5,14.8
Layshia Clarendon,LAS,G,21.0,335.0,21.0,12.0,16.0,1.5,3.6,0.427,0.3,1.0,0.35,1.2,2.6,0.455,1.0,1.1,0.87,0.3,1.8,2.6,0.7,0.0,1.2,2.1,4.3
Alysha Clark,LVA,F,33.0,817.0,33.0,16.0,24.8,2.1,4.6,0.454,1.1,3.0,0.37,1.0,1.6,0.615,0.6,0.8,0.8,0.5,3.6,1.8,0.9,0.3,1.5,2.9,5.9
Caitlin Clark,IND,G,34.0,1207.0,34.0,34.0,35.5,5.9,14.0,0.425,3.0,8.7,0.343,2.9,5.2,0.562,4.0,4.4,0.9,0.4,5.8,8.4,1.4,0.8,5.5,2.9,18.9
Natasha Cloud,PHO,G,33.0,1112.0,33.0,33.0,33.7,4.0,10.1,0.398,1.2,3.7,0.325,2.8,6.4,0.441,2.3,2.8,0.819,0.5,4.2,6.8,1.5,0.7,3.3,2.8,11.6
Nia Coffey,ATL,F,33.0,484.0,33.0,11.0,14.7,1.2,4.0,0.308,0.5,1.9,0.266,0.7,2.1,0.348,0.5,0.6,0.789,0.5,2.5,1.3,0.3,0.7,1.0,1.3,3.5
Napheesa Collier,MIN,F,28.0,961.0,28.0,28.0,34.3,7.9,16.0,0.492,1.0,3.0,0.325,6.9,13.1,0.53,3.7,4.7,0.78,2.4,9.8,3.6,1.9,1.3,2.2,2.5,20.4
Sydney Colson,LVA,G,24.0,168.0,24.0,0.0,7.0,0.7,1.7,0.4,0.4,1.0,0.375,0.3,0.7,0.438,0.3,0.4,0.889,0.0,0.3,0.8,0.4,0.0,0.3,0.6,2.0
Zia Cooke,LAS,G,24.0,215.0,24.0,0.0,9.0,1.1,3.8,0.297,0.3,1.3,0.25,0.8,2.5,0.322,0.8,1.1,0.731,0.1,0.7,0.7,0.3,0.1,0.6,0.8,3.4
Kahleah Copper,PHO,G-F,35.0,1144.0,35.0,35.0,32.7,7.6,17.2,0.443,1.9,6.0,0.321,5.7,11.3,0.508,4.7,5.9,0.81,0.7,4.6,2.2,0.8,0.1,3.1,3.4,21.9
Lorela Cubaj,ATL,F-C,21.0,139.0,21.0,1.0,6.6,0.4,1.1,0.391,0.0,0.0,0.0,0.4,1.1,0.391,0.1,0.1,0.667,0.6,1.2,0.5,0.2,0.1,0.4,0.9,1.0
Sophie Cunningham,PHO,G,35.0,978.0,35.0,16.0,27.9,2.5,5.9,0.424,1.6,4.3,0.368,0.9,1.5,0.585,1.5,1.7,0.885,0.5,4.1,2.1,1.0,0.3,1.0,2.3,8.1
Damiris Dantas,IND,F,14.0,152.0,14.0,0.0,10.9,1.9,4.1,0.474,0.6,1.6,0.348,1.4,2.4,0.559,0.4,0.6,0.75,0.3,2.2,0.5,0.3,0.3,0.8,0.9,4.9
Marquesha Davis,NYL,G,16.0,57.0,16.0,0.0,3.6,0.4,0.9,0.4,0.1,0.1,1.0,0.3,0.9,0.357,0.2,0.3,0.6,0.1,0.4,0.1,0.1,0.2,0.0,0.6,1.0
Diamond DeShields,CHI,G,30.0,410.0,30.0,10.0,13.7,1.7,5.0,0.331,0.3,1.6,0.167,1.4,3.4,0.408,0.6,1.1,0.594,0.2,1.4,1.3,0.6,0.3,0.9,1.5,4.2
Skylar Diggins-Smith,SEA,G,34.0,1075.0,34.0,34.0,31.6,5.3,12.9,0.409,0.9,3.2,0.266,4.4,9.7,0.456,3.1,3.7,0.849,0.8,2.9,6.4,1.5,0.9,2.9,2.9,14.6
Liz Dixon,PHO,F,17.0,160.0,17.0,0.0,9.4,0.6,1.7,0.379,0.0,0.0,0.0,0.6,1.7,0.379,0.5,0.6,0.8,0.8,2.4,0.5,0.1,0.5,0.5,0.8,1.8
Ivana Dojkić,NYL,G,23.0,241.0,23.0,0.0,10.5,1.0,2.9,0.343,0.7,1.7,0.375,0.3,1.2,0.296,0.7,1.0,0.739,0.3,0.8,0.8,0.3,0.0,0.6,1.1,3.4
